,name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Arbutus-Ridge,0.040614491989187054,0.04188988575485703,0.039130159934256274,0.027314958191390522,0.02242514598086719,0.020870973771104605,0.023744063984004,0.020179231685153853,0.018981772470144563,0.021410020903274846,0.019152196118488254,0.026188790940093944,0.02354390971591646,0.028375286041189933
1,Downtown,0.2874205919377031,0.23488347116314037,0.19028018844532607,0.1954623977887827,0.18070943726735275,0.1713302034428795,0.13738541251494618,0.1112234194717269,0.10464435911501188,0.09640656718544108,0.10309582480130497,0.12048600534741259,0.13368118622238367,0.1588424955666613
2,Dunbar-Southlands,0.03616035926463021,0.04432301153612629,0.03357269420871025,0.02532588454376164,0.020155110760228488,0.017001760400259427,0.018577568279495357,0.019177576986907616,0.0240055185100023,0.025552326922189936,0.018133876116019798,0.0220850925625203,0.026059844571641306,0.019743290548424736
3,Fairview,0.12086230876216968,0.10629621950376668,0.1061579146203249,0.08902543096091484,0.07980083434261875,0.06871621397539217,0.0676541756588843,0.05614136919157718,0.046978371501272265,0.055559041284979294,0.04982668977469671,0.06220227189446684,0.059968659594985534,0.057584770969660914
4,Grandview-Woodland,0.10928201023213727,0.093357145358406,0.0799830872766992,0.07200850912958695,0.0735057983942908,0.06291973424313162,0.053569492138080606,0.052937966163361834,0.04841604101812855,0.04765345568842805,0.05699925141696075,0.05617898476800225,0.057254956425124126,0.06711225364181662
5,Hastings-Sunrise,0.056793108659513376,0.058277945619335345,0.04577985807036086,0.04536673709628735,0.03798570656417032,0.03599808806835156,0.033168875943648576,0.029777041812052752,0.0303912915563401,0.030785469258509984,0.02492402992052361,0.0273142890422527,0.03198096233095363,0.033810556760665224
6,Kensington-Cedar Cottage,0.05,0.05737208937495798,0.04880944380977981,0.04688234635620732,0.037898553929155795,0.03516281914080416,0.03195391386899111,0.03193417041505894,0.027427849167895514,0.02685980644217303,0.03252302331369784,0.034230080480826625,0.03135596682599992,0.031910795742524076
7,Kerrisdale,0.0440207486331137,0.05798915310805173,0.05696944616870129,0.04481696886760178,0.03251588223239292,0.023801404896678716,0.027779669095118132,0.025763034464006525,0.029114353579911774,0.0375094287869437,0.02466911509943871,0.028503396596400308,0.033835917038295464,0.03355992844364938
8,Killarney,0.036404357893937665,0.04357298474945534,0.04182000669120107,0.03565121412803532,0.029487880444687444,0.02072950523654749,0.022866344605475042,0.02074468085106383,0.01859075733614479,0.022459743616612526,0.017602333090303093,0.020499016461331402,0.01969057665260197,0.018277919863597614
9,Kitsilano,0.07370473119892029,0.06765327695560254,0.0629950495049505,0.05825840620766104,0.04417069519766386,0.03918644730730682,0.0395976913523123,0.03440161090759116,0.03180664652567976,0.034213239348821596,0.03260947125561925,0.032022087453099556,0.03823371028540657,0.04088744337321408
